year,name,college,position,grade
2014,Jonotthan Harrison,FLORIDA,C,5.8
2014,Victor Hampton,SOUTH CAROLINA,CB,5.8
2014,Andre Hal,VANDERBILT,CB,5.8
2014,Ryan Groy,WISCONSIN,OG,5.8
2014,James Gayle,VIRGINIA TECH,DE,5.8
2014,E.J. Gaines,MISSOURI,CB,5.8
2014,Zach Fulton,TENNESSEE,OG,5.8
2014,Khairi Fortt,CALIFORNIA,ILB,5.8
2014,Cameron Fleming,STANFORD,OT,5.8
2014,Shaq Evans,UCLA,WR,5.8
2014,Dominique Easley,FLORIDA,DT,5.8
2014,Greg Ducre,WASHINGTON,CB,5.8
2014,Jonathan Dowling,WESTERN KENTUCKY,SS,5.8
2014,Ahmad Dixon,BAYLOR,SS,5.8
2014,Pierre Desir,LINDENWOOD,CB,5.8
2014,Mike Davis,TEXAS,WR,5.8
2014,Chris Davis,AUBURN,CB,5.8
2014,Aaron Colvin,OKLAHOMA,CB,5.8
2014,Kain Colter,NORTHWESTERN,WR,5.8
2014,Trey Burton,FLORIDA,TE,5.8
2014,Isaiah Burse,FRESNO ST.,WR,5.8
2014,Max Bullough,MICHIGAN ST.,ILB,5.8
2014,Deone Bucannon,WASHINGTON ST.,SS,5.8
2014,Martavis Bryant,CLEMSON,WR,5.8
2014,Jonathan Brown,ILLINOIS,OLB,5.8
2014,Terrence Brooks,FLORIDA ST.,FS,5.8
2014,Jay Bromley,SYRACUSE,DT,5.8
2014,Carl Bradford,ARIZONA STATE,OLB,5.8
2014,Chris Boyd,VANDERBILT,WR,5.8
2014,Russell Bodine,NORTH CAROLINA,C,5.8
2014,Alfred Blue,LSU,RB,5.8
2014,Nat Berhe,SAN DIEGO ST.,SS,5.8
2014,Bene' Benwikere,SAN JOSE ST.,CB,5.8
2014,Shaquil Barrett,COLORADO ST.,OLB,5.8
2014,Lonnie Ballentine,MEMPHIS,FS,5.8
2014,James Baker,IDAHO,RB,5.8
2014,Dion Bailey,USC,SS,5.8
2014,Jared Abbrederis,WISCONSIN,WR,5.8
2014,Marcus Williams,NORTH DAKOTA ST.,CB,5.6
2014,Karl Williams,UTAH,FB,5.6
2014,Austin Wentworth,FRESNO ST.,OG,5.6
2014,Brandon Watts,GEORGIA TECH,OLB,5.6
2014,Todd Washington,SOUTHEASTERN LOUISIANA,CB,5.6
2014,Jimmie Ward,NORTHERN ILLINOIS,SS,5.6
2014,Josh Walker,MIDDLE TENNESSEE ST.,OT,5.6
2014,Lawrence Virgil,VALDOSTA ST.,DT,5.6
2014,Mitchell Van Dyk,PORTLAND ST.,OT,5.6
2014,Kirby Van Der Kamp,IOWA ST.,P,5.6
2014,Trai Turner,LSU,OG,5.6
2014,Jordan Tripp,MONTANA,OLB,5.6
2014,Jemea Thomas,GEORGIA TECH,CB,5.6
2014,Vinnie Sunseri,ALABAMA,SS,5.6
2014,Bryan Stork,FLORIDA ST.,C,5.6
2014,James Stone,TENNESSEE,C,5.6
2014,Josh Stewart,OKLAHOMA ST.,WR,5.6
2014,Marquis Spruill,SYRACUSE,ILB,5.6
2014,Willie Snead,BALL ST.,WR,5.6
2014,Will Smith,TEXAS TECH,OLB,5.6
2014,Brett Smith,WYOMING,QB,5.6
2014,Nathan Slaughter,WEST TEXAS A&M,WR,5.6
2014,Tom Savage,PITTSBURGH,QB,5.6
2014,Cairo Santos,TULANE,K,5.6
2014,Ed Reynolds,STANFORD,FS,5.6
2014,Bryn Renner,NORTH CAROLINA,QB,5.6
2014,Tevin Reese,BAYLOR,WR,5.6
2014,Keith Reaser,FLORIDA ATLANTIC,CB,5.6
2014,Ladarius Perkins,MISSISSIPPI ST.,RB,5.6
2014,Kevin Pamphile,PURDUE,OT,5.6
2014,Kevin Norwood,ALABAMA,WR,5.6
